Fehezanteny,Sokajinteny
"""Ary niainga Rebeka mbamin'ny ankizivaviny ka nitaingina ny rameva, dia nandeha niaraka tamin-dralehilahy; ary nitondra an-dRebeka ilay mpanompo ka lasa nandeha.""",Mpampitohy Matoanteny Anarana Mpampiankina Mpanoritra Anarana Kianteny Matoanteny Mpanoritra Anarana Kianteny Matoanteny Matoanteny Mpampiankina Anarana Mpampitohy Matoanteny Tambinteny Anarana Mpanoritra Anarana Kianteny Kianteny Matoanteny
"""Ary Isaka efa tonga avy tamin'ny nalehany tany Bera-lahai-roy; fa nonina tany amin'ny tany atsimo izy.""",Mpamaritra Anarana Tambinteny Matoanteny Kianteny Mpampiankina Mpanoritra Matoanteny Tambinteny Anarana Anarana Anarana Tambinteny Matoanteny Tambinteny Mpampiankina Mpanoritra Anarana Mpisolo
"""Ary Isaka nivoaka mba hieritreritra any an-tsaha, rehefa nitehin-ko hariva ny andro; dia nanopy ny masony izy ka nahita fa indrery nisy rameva avy manatona.""",Mpampitohy Anarana Matoanteny Kianteny Matoanteny Tambinteny Tambinteny Anarana Tambinteny Matoanteny Kianteny Anarana Mpanoritra Anarana Kianteny Matoanteny Mpanoritra Anarana Mpisolo Kianteny Matoanteny Tambinteny Mpisolo Matoanteny Anarana Kianteny Matoanteny
"""Ary Rebeka koa nanopy ny masony ka nahatazana an'Isaka; dia nidina faingana niala tamin'ny rameva izy.""",Mpampitohy Anarana Kianteny Matoanteny Mpanoritra Matoanteny Kianteny Matoanteny Tambinteny Anarana Kianteny Matoanteny Mpamaritra Matoanteny Mpampiankina Mpanoritra Anarana Mpisolo
"""Ary hoy izy tamin'ilay mpanompo: Iza moa iry lehilahy mitsangantsangana eny an-tsaha avy mitsena antsika iry? Ary hoy ilay mpanompo : Iny no tompoko, dia nandray ny fisalobonana Rebeka, ka nisalobonany.""",Mpampitohy Mpamaritra Mpisolo Mpampiankina Mpanoritra Anarana Mpisolo Kianteny Kianteny Anarana Matoanteny Tambinteny Tambinteny Anarana Kianteny Matoanteny Mpisolo Kianteny Mpampitohy Mpamaritra Mpanoritra Anarana Mpisolo Kianteny Anarana Kianteny Matoanteny Mpanoritra Anarana Anarana Kianteny Matoanteny
"""Ary dia nambaran'ilay mpanompo tamin'Isaka ny zavatra rehetra izay efa nataony.""",Mpampitohy Kianteny Matoanteny Mpanoritra Anarana Mpampiankina Anarana Mpanoritra Anarana Mpamaritra Mpisolo Tambinteny Matoanteny
"""Ary Isaka dia nampandroso an-dRebeka ho ao an-dain'i Saraha reniny ka nampakatra azy ho vadiny; ary tia azy izy, dia nionona ny alahelony an-dreniny.""",Mpampitohy Anarana Kianteny Matoanteny Tambinteny Anarana Kianteny Tambinteny Tambinteny Anarana Mpanoritra Anarana Anarana Kianteny Matoanteny Mpisolo Kianteny Anarana Mpampitohy Matoanteny Mpisolo Mpisolo Kianteny Matoanteny Mpanoritra Anarana Tambinteny Anarana
"""Ary Isaka dia nampandroso an-dRebeka ho ao an-dain'i Saraha reniny ka nampakatra azy ho vadiny; ary tia azy izy, dia nionona ny alahelony an-dreniny.""",Mpampitohy Anarana Kianteny Matoanteny Tambinteny Anarana Kianteny Tambinteny Tambinteny Anarana Mpanoritra Anarana Anarana Kianteny Matoanteny Mpisolo Kianteny Anarana Mpampitohy Matoanteny Mpisolo Mpisolo Kianteny Matoanteny Mpanoritra Anarana Tambinteny Anarana
"""Ary Abrahama nampaka-bady indray, Ketora no anarany.""",Mpampitohy Anarana Matoanteny Anarana Tambinteny Anarana Kianteny Anarana 
"""Dia niteraka an'i Zimrana sy Joksana sy Medana sy Midiana sy Jisbaka ary Soaha tamin'i Abrahama izy.""",Mpampitohy Matoanteny Tambinteny Mpanoritra Anarana Mpampitohy Anarana Mpampitohy Anarana Mpampitohy Anarana Mpampitohy Anarana Mpampitohy Anarana Mpampiankina Mpanoritra Anarana Mpisolo
"""Ary Joksana niteraka an'i Sheba sy Dedana.""",Mpampitohy Anarana Matoanteny Tambinteny Mpanoritra Anarana Mpampitohy Anarana
"""Ary ny zanakalahin'i Dedana dia Asorima sy Letosima ary Leomima.""",Mpampitohy Mpanoritra Anarana Mpanoritra Anarana Kianteny Anarana Mpampitohy Anarana Mpampitohy Anarana
"""Ary ny zanakalahin'i Midiana dia Efaha sy Efera sy Hanoka sy Abida ary Eldaha.""",Mpampitohy Mpanoritra Anarana Mpanoritra Anarana Kianteny Anarana Mpampitohy Anarana Mpampitohy Anarana Mpampitohy Anarana Mpampitohy Anarana
"""Ireo rehetra ireo no zanak'i Ketora.""",Mpisolo Mpamaritra Mpisolo Kianteny Anarana Mpanoritra Anarana
"""Dia natolotr'i Abrahama an'Isaka izay rehetra nananany.""",Mpampitohy Matoanteny Mpanoritra Anarana Tambinteny Anarana Mpisolo Mpamaritra Matoanteny
"""Fa ny zanak'ireo vaditsindranony hafa, izay nananan'i Abrahama, dia samy notolorany avy ka nampandehaniny, dieny mbola velona izy, hiala amin'Isaka zanany hiantsinanana ho any amin'ny tany atsinanana.""",Tambinteny Mpanoritra Anarana Mpisolo Anarana Mpamaritra Mpisolo Matoanteny Mpanoritra Anarana Kianteny Mpisolo Matoanteny Kianteny Kianteny Matoanteny Mpampitohy Tambinteny Mpamaritra Mpisolo Matoanteny Mpampiankina Anarana Anarana Matoanteny Kianteny Tambinteny Mpampiankina Mpanoritra Tambinteny Anarana
"""Ary ny andro niainan'i Abrahama dia dimy amby fito-polo amby zato taona.""",Mpampitohy Mpanoritra Anarana Matoanteny Mpanoritra Anarana Kianteny Mpamaritra Anarana Mpamaritra Mpamaritra Anarana Mpamaritra Anarana
"""Dia niala aina Abrahama ka maty, rehefa fotsy volo tsara sady lahy antitra ela niainana; dia voangona any amin'ny razany izy.""",Mpampitohy Matoanteny Anarana Anarana Kianteny Matoanteny Tambinteny Mpamaritra Anarana Mpamaritra Mpampitohy Anarana Mpamaritra Mpamaritra Matoanteny Kianteny Matoanteny Tambinteny Mpampiankina Mpanoritra Anarana Mpisolo
"""Ary nalevin'Isaka sy Isimaela zanany izy tao amin'ny zohy ao Makpela, tao amin'ny sahan'i Efrona, zanak'i Zohara Hetita, izay tandrifin'i Mamre, dia ilay saha izay novinidin'i Abrahama tamin'ny taranak'i Heta; tao no nandevenana an'i Abrahama sy Saraha vadiny.""",Mpampitohy Matoanteny Anarana Mpampitohy Anarana Anarana Mpisolo Tambinteny Mpampiankina Mpanoritra Anarana Tambinteny Anarana Tambinteny Mpampiankina Mpanoritra Anarana Mpanoritra Anarana Anarana Mpanoritra Anarana Anarana Mpisolo Anarana Mpanoritra Anarana Kianteny Mpanoritra Anarana Mpisolo Matoanteny Mpanoritra Anarana Mpampiankina Mpanoritra Anarana Mpanoritra Anarana Tambinteny Kianteny Matoanteny Tambinteny Mpanoritra Anarana Mpampitohy Anarana Anarana
"""Ary rehefa maty Abrahama, dia notahin'Andriamanitra Isaka zanany; ary Isaka dia nonina teo akaikin'i Bera-lahai-roy.""",Mpampitohy Tambinteny Matoanteny Anarana Kianteny Matoanteny Anarana Anarana Anarana Mpampitohy Anarana Kianteny Matoanteny Tambinteny Tambinteny Mpanoritra Anarana Anarana Anarana
"""Ary izao no taranak'Isimaela, zanakalahin'i Abrahama izay naterak'i Hagara, ilay Egyptiana, andevovavin'i Saraha, tamin'i Abrahama : Izao no anaran'ny zanakalahin'Isimaela, araka ny anarany sy araka ny taranany: Nebaiota, lahimatoan'Isimaela, sy Kedara sy Adbela sy Mibsama sy Misma sy Doma sy Masa sy Hadada sy Tema sy Jetora sy Nafisy ary Kedema.""",Mpampitohy Mpisolo Kianteny Anarana Anarana Anarana Mpanoritra Anarana Mpisolo Matoanteny Mpanoritra Anarana Mpanoritra Anarana Matoanteny Mpanoritra Anarana Mpampiankina Mpanoritra Anarana Mpisolo Kianteny Anarana Mpanoritra Anarana Anarana Mpampitohy Mpanoritra Anarana Mpampitohy Mpampitohy Mpanoritra Anarana Anarana Anarana Anarana Mpampitohy Anarana Mpampitohy Anarana Mpampitohy Anarana Mpampitohy Anarana Mpampitohy Anarana Mpampitohy Anarana Mpampitohy Anarana Mpampitohy Anarana Mpampitohy Anarana Mpampitohy Anarana Mpampitohy Anarana
"""Izy ireo no zanakalahin'Isimaela, ary ireo no anarany, araka ny vohiny sy ny tobiny, dia andriana roa ambin'ny folo araka ny fireneny.""",Mpisolo Mpisolo Kianteny Anarana Anarana Mpampitohy Mpisolo Kianteny Anarana Mpampitohy Mpanoritra Anarana Mpampitohy Mpanoritra Anarana Kianteny Anarana Mpamaritra Anarana Mpanoritra Anarana Mpampitohy Mpanoritra Anarana
"""Ary ny andro niainan'Isimaela dia fito amby telo-polo amby zato taona; ary niala aina izy ka maty, dia voangona any amin'ny razany.""",Mpampitohy Mpanoritra Anarana Matoanteny Anarana Kianteny Mpamaritra Anarana Mpamaritra Mpamaritra Anarana Mpamaritra Anarana Mpampitohy Matoanteny Anarana Mpisolo Kianteny Matoanteny Kianteny Matoanteny Tambinteny Mpampiankina Mpanoritra Anarana
"""Ary ny taranany nonina hatrany Havila ka hatrany Sora, izay tandrifin'i Egypta amin'ny lalana mankany Asyria; nifanandrify tamin'ny rahalahiny rehetra no nitoerany.""",Mpampitohy Mpanoritra Anarana Matoanteny Tambinteny Anarana Kianteny Tambinteny Anarana Mpisolo Anarana Mpanoritra Anarana Mpampiankina Mpanoritra Anarana Matoanteny Anarana Matoanteny Mpampiankina Mpanoritra Anarana Mpamaritra Kianteny Matoanteny
"""Ary izao no taranak'Isaka, zanakalahin'i Abrahama: Abrahama niteraka an'Isaka; ary efa-polo taona Isaka, raha nampakatra an-dRebeka, zanakavavin'i Betoela Syriana, avy tany Mesopotamia, sady anabavin'i Labana Syriana.""",Mpampitohy Mpisolo Kianteny Anarana Anarana Anarana Mpanoritra Anarana Anarana Matoanteny Tambinteny Anarana Mpampitohy Mpamaritra Mpamaritra Anarana Anarana Mpampitohy Matoanteny Tambinteny Anarana Anarana Mpanoritra Anarana Anarana Kianteny Tambinteny Anarana Mpampitohy Anarana Mpanoritra Anarana Anarana
"""Ary Isaka nangataka tamin'i Jehovah ho an'ny vadiny, satria momba izy; ary nohenoin'i Jehovah ny fangatahany, dia nanan'anaka Rebeka vadiny.""",Mpampitohy Anarana Matoanteny Mpampiankina Mpanoritra Anarana Kianteny Tambinteny Mpanoritra Anarana Mpampitohy Matoanteny Mpisolo Mpampitohy Matoanteny Mpanoritra Anarana Mpanoritra Anarana Kianteny Matoanteny Anarana Anarana Anarana
"""Ary nifanosika ny zaza kambana tao an-kibony; ary hoy Rebeka: Raha izao, nahoana re aho no dia mbola velona?""",Mpampitohy Matoanteny Mpanoritra Anarana Anarana Tambinteny Tambinteny Anarana Mpampitohy Mpamaritra Anarana Mpampitohy Mpisolo Tambinteny Kianteny Mpisolo Kianteny Kianteny Tambinteny Matoanteny
"""Dia lasa nanontany tamin'i Jehovah izy.""",Kianteny Matoanteny Matoanteny Mpampiankina Mpanoritra Anarana Mpisolo
"""Ary hoy Jehovah taminy: Firenena roa no ao an-kibonao; ary vahoaka roa toko no hisaraka hatrao am-bohokanao; ary ny vahoaka iray toko hahery noho ny iray toko.""",Mpampitohy Mpamaritra Anarana Mpampiankina Anarana Mpamaritra Kianteny Tambinteny Tambinteny Anarana Mpampitohy Anarana Mpamaritra Anarana Kianteny Matoanteny Tambinteny Tambinteny Anarana Mpampitohy Mpanoritra Anarana Mpamaritra Anarana Matoanteny Mpampitohy Mpanoritra Mpamaritra Anarana
"""Ka ny zokiny hanompo ny zandriny.""",Kianteny Mpanoritra Anarana Matoanteny Mpanoritra Anarana
"""Ary rehefa tonga ny andro hahaterahany, indreo, nisy zaza kambana tao an-kibony.""",Mpampitohy Tambinteny Matoanteny Mpanoritra Anarana Matoanteny Tambinteny Matoanteny Anarana Anarana Tambinteny Tambinteny Anarana
"""Dia teraka ny voalohany ka mena, ary tahaka ny kapôty volom-biby ny tenany rehetra; dia nataony hoe Esao ny anarany.""",Mpampitohy Matoanteny Mpanoritra Mpamaritra Kianteny Mpamaritra Mpampitohy Mpamaritra Mpanoritra Anarana Anarana Anarana Mpanoritra Anarana Mpamaritra Kianteny Matoanteny Tambinteny Anarana Mpanoritra Anarana
"""Ary rehefa afaka izany, dia teraka koa ny rahalahiny, ary ny tànany nihazona ny ombelahin-tongotr'i Esao, dia nataony hoe Jakoba ny anarany; ary efa enim-polo taona Isaka tamin'ny niterahana azy mirahalahy.""",Mpampitohy Tambinteny Matoanteny Mpisolo Kianteny Matoanteny Kianteny Mpanoritra Anarana Mpampitohy Mpanoritra Anarana Matoanteny Mpanoritra Anarana Anarana Mpanoritra Anarana Kianteny Matoanteny Tambinteny Anarana Mpanoritra Anarana Mpampitohy Tambinteny Mpamaritra Mpamaritra Anarana Anarana Mpampiankina Matoanteny Mpisolo Anarana
"""Dia nitombo ireo zaza ireo; ary Esao lehilahy nahay nihaza, dia mpianefitra, fa Jakoba kosa lehilahy tsara fanahy sady mpitoetra an-day.""",Mpampitohy Matoanteny Mpisolo Anarana Mpisolo Mpampitohy Anarana Anarana Matoanteny Matoanteny Kianteny Anarana Tambinteny Anarana Mpampitohy Anarana Mpamaritra Anarana Mpampitohy Anarana Tambinteny Anarana
"""Ary Isaka tia an'i Esao, satria nankafy ny hazany; fa Rebeka kosa tia an'i Jakoba.""",Mpampitohy Anarana Matoanteny Tambinteny Mpanoritra Anarana Mpampitohy Matoanteny Mpanoritra Anarana Tambinteny Anarana Mpampitohy Matoanteny Tambinteny Mpanoritra Anarana
"""Ary nahandro hanina Jakoba; ary sendra avy tany an-tsaha Esao ka reraka.""",Mpampitohy Matoanteny Anarana Anarana Mpampitohy Mpamaritra Kianteny Tambinteny Tambinteny Anarana Anarana Kianteny Mpamaritra
"""Dia hoy Esao tamin'i Jakoba: Mba anomezo ahy hohaniko ny mena, dia io mena io, fa reraka aho (izany no nanaovana ny anarany hoe Edoma).""",Mpampitohy Mpamaritra Anarana Mpampiankina Mpanoritra Anarana Kianteny Matoanteny Mpisolo Matoanteny Mpanoritra Anarana Kianteny Mpisolo Anarana Mpisolo Kianteny Mpamaritra Mpisolo Mpisolo Kianteny Matoanteny Mpanoritra Anarana Tambinteny Anarana
"""Fa hoy Jakoba: Amidio amiko ary aloha ny fizokianao.""",Tambinteny Mpamaritra Anarana Matoanteny Mpampiankina Mpampitohy Mpamaritra Mpanoritra Anarana
"""Dia hoy kosa Esao: Indro, ho faty ihany aho; ka mahasoa inona izay fizokiana?""",Mpampitohy Mpamaritra Mpampitohy Anarana Tambinteny Kianteny Matoanteny Tambinteny Mpisolo Kianteny Matoanteny Mpisolo Mpisolo Anarana
"""Ary hoy Jakoba: Mianiana ary amiko aloha.""",Mpampitohy Mpamaritra Anarana Matoanteny Mpampitohy Mpampiankina Mpamaritra
"""Dia nianiana taminy izy; ka dia namidiny tamin'i Jakoba ny fizokiany.""",Mpampitohy Matoanteny Mpampiankina Mpisolo Kianteny Kianteny Matoanteny Mpampiankina Mpanoritra Anarana Mpanoritra Anarana
"""Ary Jakoba nanome an'i Esao mofo sy voanemba masaka; dia nihinana sy nisotro izy, ary niainga ka lasa nandeha.""",Mpampitohy Anarana Matoanteny Tambinteny Mpanoritra Anarana Anarana Mpampitohy Matoanteny Mpamaritra Kianteny Matoanteny Mpampitohy Matoanteny Mpisolo Mpampitohy Matoanteny Kianteny Matoanteny Matoanteny
"""Izany no nanamavoan'i Esao ny fizokiany.""",Mpisolo Kianteny Matoanteny Mpanoritra Anarana Mpanoritra Anarana
"""Ary nisy mosary indray teo amin'ny tany afa-tsy ilay mosary voalohany fony fahavelon'i Abrahama.""",Mpampitohy Matoanteny Anarana Tambinteny Tambinteny Mpampiankina Mpanoritra Tambinteny Kianteny Tambinteny Mpanoritra Anarana Mpamaritra Mpampitohy Anarana Mpanoritra Anarana
"""Ary Isaka nankany amin'i Abimeleka mpanjakan'ny Filistina, tany Gerara.""",Mpampitohy Anarana Matoanteny Mpampiankina Mpanoritra Anarana Anarana Mpanoritra Anarana Tambinteny Anarana 
"""Ary Jehovah niseho taminy ka nanao hoe: Aza midina any Egypta ianao; mitoera eo amin'ny tany izay holazaiko aminao.""",Mpampitohy Anarana Matoanteny Mpampiankina Kianteny Matoanteny Tambinteny Kianteny Matoanteny Tambinteny Anarana Mpisolo Matoanteny Tambinteny Mpampiankina Mpanoritra Anarana Mpisolo Matoanteny Mpampiankina
"""Mivahinia eto amin'ity tany ity ianao, dia homba anao sy hitahy anao Aho; fa ianao sy ny taranakao no homeko ireto tany rehetra ireto, ka hotoviko ny fianianana izay nataoko tamin'i Abrahama rainao; dia hahamaro ny taranakao ho tahaka ny kintana eny amin'ny lanitra Aho, ka homeko ny taranakao ireto tany rehetra ireto, ary amin'ny taranakao no hitahiana ny firenena rehetra ambonin'ny tany; satria efa nihaino ny feoko Abrahama ka nitandrina izay nasaiko notandremany, dia ny didiko sy ny teniko ary ny lalàko.""",Matoanteny Tambinteny Mpampiankina Mpisolo Anarana Mpisolo Mpisolo Kianteny Matoanteny Mpisolo Mpampitohy Matoanteny Mpisolo Mpisolo Tambinteny Mpisolo Mpampitohy Mpanoritra Anarana Kianteny Matoanteny Mpisolo Anarana Mpamaritra Mpisolo Kianteny Matoanteny Mpanoritra Anarana Mpisolo Matoanteny Mpampiankina Mpanoritra Anarana Anarana Kianteny Matoanteny Mpanoritra Anarana Kianteny Mpamaritra Mpanoritra Anarana Tambinteny Mpampiankina Mpanoritra Anarana Mpisolo Mpampiankina Mpanoritra Anarana Kianteny Matoanteny Mpanoritra Anarana Mpamaritra Tambinteny Mpanoritra Anarana Mpampitohy Tambinteny Matoanteny Mpanoritra Anarana Anarana Kianteny Matoanteny Mpisolo Matoanteny Matoanteny Kianteny Mpanoritra Anarana Mpampitohy Mpanoritra Anarana Mpampitohy Mpanoritra Anarana 
"""Ary Isaka dia nitoetra tany Gerara.""",Mpampitohy Anarana Kianteny Matoanteny Tambinteny Anarana
"""Ary ny lehilahy tompon-tany nanontany ny amin'ny vadiny; ary hoy kosa izy: Anabaviko izy; fa natahotra hilaza hoe: Vadiko izy, fandrao, hoy izy, hamono ahy ny lehilahy tompon-tany noho Rebeka, satria tsara tarehy izy.""",Mpampitohy Mpanoritra Anarana Anarana Anarana Matoanteny Mpanoritra Mpampiankina Mpanoritra Anarana Mpampitohy Mpamaritra Mpampitohy Mpisolo Anarana Mpisolo Tambinteny Matoanteny Matoanteny Tambinteny Anarana Mpisolo Matoanteny Mpamaritra Mpisolo Matoanteny Mpisolo Mpanoritra Anarana Anarana Anarana Mpampitohy Anarana Mpampitohy Mpamaritra Anarana Mpisolo
"""Ary rehefa nitoetra ela teo izy, dia nitsirika teo am-baravarankely Abimeleka, mpanjakan'ny Filistina, ka nahita fa, indro, Isaka nisangy tamin-dRebeka vadiny.""",Mpampitohy Tambinteny Matoanteny Mpamaritra Tambinteny Mpisolo Kianteny Matoanteny Tambinteny Tambinteny Anarana Anarana Anarana Mpanoritra Anarana Kianteny Matoanteny Kianteny Tambinteny Anarana Matoanteny Mpampiankina Anarana Anarana
"""Ary Abimeleka dia niantso an'Isaka ka nanao hoe: Efa hita mihitsy fa vadinao izy, ka nahoana no nolazainao hoe: Anabaviko izy?""",Mpampitohy Anarana Kianteny Matoanteny Tambinteny Anarana Kianteny Matoanteny Tambinteny Tambinteny Matoanteny Mpamaritra Tambinteny Anarana Mpisolo Kianteny Tambinteny Kianteny Matoanteny Tambinteny Anarana Mpisolo 
""""Ary hoy Isaka taminy: Satria hoy izaho anakampo: Fandrao maty aho noho ny aminy.""",Mpampitohy Mpamaritra Anarana Mpampiankina Mpampitohy Mpamaritra Mpisolo Tambinteny Matoanteny Matoanteny Mpisolo Mpampitohy Mpanoritra Mpampiankina
"""Ary hoy Abimeleka: Inona izao nataonao taminay izao?""",Mpampitohy Mpamaritra Anarana Mpisolo Mpisolo Matoanteny Mpampiankina Mpisolo
""" Saiky nisy nandry tamin'ny vadinao ny olona, dia ho nahatonga heloka taminay ianao.""",Tambinteny Matoanteny Matoanteny Mpampiankina Mpanoritra Anarana Mpanoritra Anarana Kianteny Kianteny Matoanteny Anarana Mpampiankina Mpisolo
"""Dia nandidy ny vahoakany rehetra Abimeleka ka nanao hoe: Izay manendry io lehilahy io na ny vadiny dia hatao maty tokoa.""",Kianteny Matoanteny Mpanoritra Anarana Mpamaritra Anarana Kianteny Matoanteny Tambinteny Mpisolo Matoanteny Mpisolo Anarana Mpisolo Kianteny Mpanoritra Anarana Kianteny Matoanteny Matoanteny Tambinteny
"""Dia namafy tamin'izany tany izany Isaka ka nahazo zato heny tamin'izay taona izay, satria efa notahin'i Jehovah izy.""",Mpampitohy Matoanteny Mpampiankina Mpisolo Tambinteny Mpisolo Anarana Kianteny Matoanteny Mpamaritra Anarana Mpampiankina Mpisolo Anarana Mpisolo Mpampitohy Tambinteny Matoanteny Mpanoritra Anarana Mpisolo
"""Ary nanan-karena ralehilahy ka nandroso sy nitombo ambara-pahatongany ho mpanjatobe indrindra; fa nanana fananana be izy, dia ondry aman'osy sy omby ary andevo maro; ka dia nialona azy ny Filistina.""",Mpampitohy Matoanteny Anarana Anarana Kianteny Matoanteny Mpampitohy Matoanteny Anarana Anarana Kianteny Anarana Tambinteny Tambinteny Matoanteny Anarana Mpamaritra Mpisolo Kianteny Anarana Mpampiankina Anarana Mpampitohy Anarana Mpampitohy Anarana Mpamaritra Kianteny Kianteny Matoanteny Mpisolo Mpanoritra Anarana 
"""Ary ny lavaka fantsakana rehetra, izay efa nohadin'ny mpanompon-drainy fony fahavelon'i Abrahama rainy, dia efa novonoin'ny Filistina sy nototofany tany avokoa.""",Mpampitohy Mpanoritra Anarana Anarana Mpamaritra Mpisolo Tambinteny Matoanteny Mpanoritra Anarana Anarana Mpampitohy Anarana Mpanoritra Anarana Anarana Kianteny Tambinteny Matoanteny Mpanoritra Anarana Mpampitohy Matoanteny Anarana Mpamaritra
"""Ary hoy Abimeleka tamin'Isaka: Miala atỳ aminay; fa ianao mahery lavitra noho izahay.""",Mpampitohy Mpamaritra Anarana Mpampiankina Anarana Matoanteny Tambinteny Mpampiankina Tambinteny Mpisolo Matoanteny Mpamaritra Mpampitohy Mpisolo
"""Ary lasa niala teo Isaka, dia nanorina ny lainy teo an-dohasahan'i Gerara ka nonina teo.""",Mpampitohy Matoanteny Matoanteny Tambinteny Anarana Kianteny Matoanteny Mpanoritra Anarana Tambinteny Tambinteny Anarana Mpanoritra Anarana Kianteny Matoanteny Tambinteny
"""Dia noloaran'Isaka indray ny lavaka fantsakana izay voahady fony fahavelon'i Abrahama rainy, fa efa novonoin'ny Filistina ireny, rehefa maty Abrahama; ary dia nasiany anarana ireny araka ny anarana izay efa nanaovan-drainy azy ihany.""",Mpampitohy Matoanteny Anarana Tambinteny Mpanoritra Anarana Anarana Mpisolo Matoanteny Mpampitohy Anarana Mpanoritra Anarana Anarana Kianteny Tambinteny Matoanteny Mpanoritra Anarana Mpisolo Tambinteny Matoanteny Anarana Mpampitohy Kianteny Matoanteny Anarana Mpisolo Mpampitohy Mpanoritra Anarana Mpisolo Tambinteny Matoanteny Anarana Mpisolo Tambinteny
"""Dia nihady teo amin'ny lohasaha ny mpanompon'Isaka ka nahita loharano velona teo.""",Mpampitohy Matoanteny Tambinteny Mpampiankina Mpanoritra Anarana Mpanoritra Anarana Anarana Kianteny Matoanteny Anarana Mpamaritra Tambinteny
"""Ary niady tamin'ny mpiandry ombin'Isaka ny mpiandry omby tao Gerara ka nanao hoe: Anay ny rano; ary ny anaran'ny lavaka fantsakana dia nataon'Isaka hoe Eseka, satria nifanditra taminy izy ireo.""",Mpampitohy Matoanteny Mpampiankina Mpanoritra Anarana Anarana Anarana Mpanoritra Anarana Anarana Tambinteny Anarana Kianteny Matoanteny Tambinteny Mpisolo Mpanoritra Anarana Mpampitohy Mpanoritra Anarana Mpanoritra Anarana Anarana Kianteny Matoanteny Anarana Tambinteny Anarana Mpampitohy Matoanteny Mpampiankina Mpisolo Mpisolo
"""Dia nihady lavaka fantsakana hafa koa izy, ka niadiany indray io; ary ny anarany dia nataony hoe Sitna.""",Mpampitohy Matoanteny Anarana Anarana Mpamaritra Kianteny Mpisolo Kianteny Matoanteny Tambinteny Mpisolo Mpampitohy Mpanoritra Anarana Kianteny Matoanteny Tambinteny Anarana
"""Dia nifindra niala teo izy ka nihady lavaka fantsakana hafa koa indray; fa io kosa tsy mba niadiany; koa ny anarany dia nataony hoe Rehobota; fa hoy izy: Efa nomen'i Jehovah toerana malalaka isika ankehitriny, dia hihamaro eo amin'ny tany.""",Mpampitohy Matoanteny Matoanteny Tambinteny Mpisolo Kianteny Matoanteny Anarana Anarana Mpamaritra Kianteny Tambinteny Tambinteny Mpisolo Mpampitohy Tambinteny Kianteny Matoanteny Kianteny Mpanoritra Anarana Kianteny Matoanteny Tambinteny Anarana Tambinteny Mpamaritra Mpisolo Tambinteny Matoanteny Mpanoritra Anarana Anarana Mpamaritra Mpisolo Tambinteny Kianteny Matoanteny Tambinteny Mpampiankina Mpanoritra Anarana
"""Dia niakatra niala teo izy ka nankany Beri-sheba.""",Mpampitohy Matoanteny Matoanteny Tambinteny Mpisolo Kianteny Matoanteny Anarana Anarana
"""Ary Jehovah niseho taminy tamin'iny alina iny ka nanao hoe: Izaho no Andriamanitr'i Abrahama rainao; aza matahotra, fa momba anao Aho ka hitahy anao sy hahamaro ny taranakao noho ny amin'i Abrahama mpanompoko.""",Mpampitohy Anarana Matoanteny Mpampiankina Mpampiankina Mpisolo Anarana Mpisolo Kianteny Matoanteny Tambinteny Mpisolo Kianteny Anarana Mpanoritra Anarana Anarana Kianteny Matoanteny Tambinteny Matoanteny Mpisolo Mpisolo Kianteny Matoanteny Mpisolo Mpampitohy Matoanteny Mpanoritra Anarana Mpampitohy Mpanoritra Mpampiankina Mpanoritra Anarana Anarana
"""Ary nanorina alitara teo izy, dia niantso ny anaran'i Jehovah sady nanorina ny lainy teo koa; ary nihady lavaka fantsakana teo ny mpanompon'Isaka.""",Mpampitohy Matoanteny Anarana Tambinteny Mpisolo Kianteny Matoanteny Mpanoritra Anarana Mpanoritra Anarana Mpampitohy Matoanteny Mpanoritra Anarana Tambinteny Kianteny Mpampitohy Matoanteny Anarana Anarana Tambinteny Mpanoritra Anarana Anarana
"""Ary Abimeleka mbamin'i Ahozata sakaizany sy Pikola, komandin'ny miaramilany, dia niala tao Gerara hankany amin'Isaka.""",Mpampitohy Anarana Mpampiankina Mpanoritra Anarana Anarana Mpampitohy Anarana Anarana Mpanoritra Anarana Kianteny Matoanteny Tambinteny Anarana Tambinteny Mpampiankina Anarana
"""Fa hoy Isaka taminy: Nahoana ianareo no mankaty amiko, kanefa nankahala ahy ianareo ka nandroaka ahy niala teo aminareo?""",Tambinteny Mpamaritra Anarana Mpampiankina Tambinteny Mpisolo Kianteny Matoanteny Mpampiankina Mpampitohy Matoanteny Mpisolo Mpisolo Kianteny Matoanteny Mpisolo Matoanteny Tambinteny Mpampiankina
